City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,juneau,58.3019,-134.4197,4.0,97,100,1.54,US,1730056414
318,geraldton,-28.7667,114.6,12.23,87,0,3.09,AU,1730056428
319,wailua homesteads,22.0669,-159.378,26.44,85,40,7.2,US,1730056430
320,la passe,45.5549,-0.8967,14.3,85,0,2.41,FR,1730056431
321,suva,-18.1416,178.4415,24.71,94,40,1.03,FJ,1730056132
322,chui,-33.6971,-53.4616,19.96,56,1,4.04,UY,1730056433
323,itaituba,-4.2761,-55.9836,36.09,44,20,2.06,BR,1730056434
324,kruisfontein,-34.0033,24.7314,14.82,61,97,8.43,ZA,1730056436
325,taoudenni,22.6783,-3.9836,30.67,19,1,3.36,ML,1730056437
326,alice springs,-23.7,133.8833,15.75,44,0,2.57,AU,1730056438
327,kathor,21.3,72.9333,24.89,66,78,1.33,IN,1730056439
328,east ballina,-28.8667,153.5833,19.07,86,100,4.71,AU,1730056440
329,sejong,36.4817,127.2871,12.51,92,100,0.99,KR,1730056441
330,turpan,42.9333,89.1667,14.89,39,0,0.4,CN,1730056443
331,landerneau,48.4525,-4.2525,11.42,100,75,1.54,FR,1730056444
332,sligo,54.2697,-8.4694,12.99,98,100,3.63,IE,1730056445
333,bonito,-21.1211,-56.4819,32.84,35,100,2.68,BR,1730056446
334,sidi bennour,32.6524,-8.4277,17.02,66,0,5.19,MA,1730056447
335,iskateley,67.6803,53.1512,0.27,92,99,4.06,RU,1730056448
336,lashio,22.9333,97.75,18.13,98,1,0.47,MM,1730056450
337,oum hadjer,13.2954,19.6966,30.82,18,100,4.38,TD,1730056451
338,susuman,62.7833,148.1667,-19.74,98,100,1.07,RU,1730056452
339,galesong,-5.3166,119.3661,26.98,75,7,4.67,ID,1730056453
340,las tablas,7.7667,-80.2833,27.32,99,100,6.71,PA,1730056454
341,pisco,-13.7,-76.2167,21.03,68,0,4.12,PE,1730056385
342,ulsteinvik,62.3432,5.8487,8.2,86,100,1.79,NO,1730056457
343,lospalos,-8.5186,127.0025,22.08,96,18,0.95,TL,1730056458
344,smithers,54.7804,-127.1743,3.18,100,100,0.0,CA,1730056459
345,labrador city,52.9463,-66.9114,-1.57,76,100,31.74,CA,1730056460
346,nuuk,64.1835,-51.7216,-1.66,69,75,1.54,GL,1730056441
347,chonchi,-42.6128,-73.8092,15.04,50,12,0.89,CL,1730056462
348,quang ngai,15.1167,108.8,20.55,91,100,1.85,VN,1730056464
349,enewetak,11.3474,162.3373,28.44,79,49,3.81,MH,1730056353
350,andovoranto,-18.95,49.1,23.03,95,52,1.92,MG,1730056467
351,cotonou,6.3654,2.4183,26.83,85,5,3.15,BJ,1730056424
352,haiku-pauwela,20.9219,-156.3051,25.14,78,100,11.62,US,1730056323
353,hanzhong,33.0728,107.0303,12.34,70,0,0.46,CN,1730056471
354,naliya,23.2667,68.8333,27.77,77,80,3.02,IN,1730056474
355,znamenskoye,57.1281,73.8282,3.67,95,100,1.58,RU,1730056475
356,dolores,-36.3132,-57.6792,24.64,42,43,4.23,AR,1730056476
357,nyagan,62.1406,65.3936,-0.22,84,100,1.28,RU,1730056477
358,nelson bay,-32.7167,152.15,16.67,90,0,2.24,AU,1730056478
359,kirkwall,58.9848,-2.9587,9.42,87,75,4.12,GB,1730056427
360,dudinka,69.4058,86.1778,-12.68,95,100,7.88,RU,1730056481
361,arar,30.9753,41.0381,16.01,39,0,2.06,SA,1730056414
362,as sulayyil,20.4607,45.5779,25.55,39,0,4.93,SA,1730056484
